Wording Style,Option 1,Option 2,Question,Answer
1,La Llorona,Momotaro,What is the more interesting folktale? La Llorona or Momotaro? Answer with only and exactly one of these two options.,Momotaro
2,La Llorona,Momotaro,Which is the more interesting folktale? La Llorona or Momotaro? Answer with only and exactly one of these two options.,La Llorona
3,La Llorona,Momotaro,What's a more interesting folktale: La Llorona or Momotaro? Answer with only and exactly one of these two options.,La Llorona
4,La Llorona,Momotaro,Which is the more interesting folktale? La Llorona or Momotaro? ... Answer with only and exactly one of these two options.,Momotaro
5,La Llorona,Momotaro,What's the more interesting folktale -- La Llorona or Momotaro? Answer with only and exactly one of these two options.,La Llorona
1,La Llorona,Paul Bunyan,What is the more interesting folktale? La Llorona or Paul Bunyan? Answer with only and exactly one of these two options.,La Llorona
2,La Llorona,Paul Bunyan,Which is the more interesting folktale? La Llorona or Paul Bunyan? Answer with only and exactly one of these two options.,La Llorona
3,La Llorona,Paul Bunyan,What's a more interesting folktale: La Llorona or Paul Bunyan? Answer with only and exactly one of these two options.,La Llorona
4,La Llorona,Paul Bunyan,Which is the more interesting folktale? La Llorona or Paul Bunyan? ... Answer with only and exactly one of these two options.,La Llorona
5,La Llorona,Paul Bunyan,What's the more interesting folktale -- La Llorona or Paul Bunyan? Answer with only and exactly one of these two options.,La Llorona
1,La Llorona,The Pied Piper of Hamelin,What is the more interesting folktale? La Llorona or The Pied Piper of Hamelin? Answer with only and exactly one of these two options.,La Llorona
2,La Llorona,The Pied Piper of Hamelin,Which is the more interesting folktale? La Llorona or The Pied Piper of Hamelin? Answer with only and exactly one of these two options.,La Llorona
3,La Llorona,The Pied Piper of Hamelin,What's a more interesting folktale: La Llorona or The Pied Piper of Hamelin? Answer with only and exactly one of these two options.,La Llorona
4,La Llorona,The Pied Piper of Hamelin,Which is the more interesting folktale? La Llorona or The Pied Piper of Hamelin? ... Answer with only and exactly one of these two options.,La Llorona
5,La Llorona,The Pied Piper of Hamelin,What's the more interesting folktale -- La Llorona or The Pied Piper of Hamelin? Answer with only and exactly one of these two options.,La Llorona
1,La Llorona,The Fox and the Grapes,What is the more interesting folktale? La Llorona or The Fox and the Grapes? Answer with only and exactly one of these two options.,La Llorona
2,La Llorona,The Fox and the Grapes,Which is the more interesting folktale? La Llorona or The Fox and the Grapes? Answer with only and exactly one of these two options.,La Llorona
3,La Llorona,The Fox and the Grapes,What's a more interesting folktale: La Llorona or The Fox and the Grapes? Answer with only and exactly one of these two options.,La Llorona
4,La Llorona,The Fox and the Grapes,Which is the more interesting folktale? La Llorona or The Fox and the Grapes? ... Answer with only and exactly one of these two options.,La Llorona
5,La Llorona,The Fox and the Grapes,What's the more interesting folktale -- La Llorona or The Fox and the Grapes? Answer with only and exactly one of these two options.,La Llorona
1,La Llorona,Ali Baba and the Forty Thieves,What is the more interesting folktale? La Llorona or Ali Baba and the Forty Thieves? Answer with only and exactly one of these two options.,Ali Baba and the Forty Thieves
2,La Llorona,Ali Baba and the Forty Thieves,Which is the more interesting folktale? La Llorona or Ali Baba and the Forty Thieves? Answer with only and exactly one of these two options.,La Llorona
3,La Llorona,Ali Baba and the Forty Thieves,What's a more interesting folktale: La Llorona or Ali Baba and the Forty Thieves? Answer with only and exactly one of these two options.,Ali Baba and the Forty Thieves
4,La Llorona,Ali Baba and the Forty Thieves,Which is the more interesting folktale? La Llorona or Ali Baba and the Forty Thieves? ... Answer with only and exactly one of these two options.,Ali Baba and the Forty Thieves
5,La Llorona,Ali Baba and the Forty Thieves,What's the more interesting folktale -- La Llorona or Ali Baba and the Forty Thieves? Answer with only and exactly one of these two options.,La Llorona
1,La Llorona,Tấm and Cám,What is the more interesting folktale? La Llorona or Tấm and Cám? Answer with only and exactly one of these two options.,La Llorona
2,La Llorona,Tấm and Cám,Which is the more interesting folktale? La Llorona or Tấm and Cám? Answer with only and exactly one of these two options.,La Llorona
3,La Llorona,Tấm and Cám,What's a more interesting folktale: La Llorona or Tấm and Cám? Answer with only and exactly one of these two options.,La Llorona
4,La Llorona,Tấm and Cám,Which is the more interesting folktale? La Llorona or Tấm and Cám? ... Answer with only and exactly one of these two options.,La Llorona
5,La Llorona,Tấm and Cám,What's the more interesting folktale -- La Llorona or Tấm and Cám? Answer with only and exactly one of these two options.,La Llorona
1,La Llorona,The Clever Rabbit and the Lion,What is the more interesting folktale? La Llorona or The Clever Rabbit and the Lion? Answer with only and exactly one of these two options.,La Llorona
2,La Llorona,The Clever Rabbit and the Lion,Which is the more interesting folktale? La Llorona or The Clever Rabbit and the Lion? Answer with only and exactly one of these two options.,La Llorona
3,La Llorona,The Clever Rabbit and the Lion,What's a more interesting folktale: La Llorona or The Clever Rabbit and the Lion? Answer with only and exactly one of these two options.,La Llorona
4,La Llorona,The Clever Rabbit and the Lion,Which is the more interesting folktale? La Llorona or The Clever Rabbit and the Lion? ... Answer with only and exactly one of these two options.,La Llorona
5,La Llorona,The Clever Rabbit and the Lion,What's the more interesting folktale -- La Llorona or The Clever Rabbit and the Lion? Answer with only and exactly one of these two options.,La Llorona
1,La Llorona,Anansi and the Moss-Covered Rock,What is the more interesting folktale? La Llorona or Anansi and the Moss-Covered Rock? Answer with only and exactly one of these two options.,La Llorona
2,La Llorona,Anansi and the Moss-Covered Rock,Which is the more interesting folktale? La Llorona or Anansi and the Moss-Covered Rock? Answer with only and exactly one of these two options.,La Llorona
3,La Llorona,Anansi and the Moss-Covered Rock,What's a more interesting folktale: La Llorona or Anansi and the Moss-Covered Rock? Answer with only and exactly one of these two options.,La Llorona
4,La Llorona,Anansi and the Moss-Covered Rock,Which is the more interesting folktale? La Llorona or Anansi and the Moss-Covered Rock? ... Answer with only and exactly one of these two options.,La Llorona
5,La Llorona,Anansi and the Moss-Covered Rock,What's the more interesting folktale -- La Llorona or Anansi and the Moss-Covered Rock? Answer with only and exactly one of these two options.,La Llorona
1,La Llorona,The Monkey and the Turtle,What is the more interesting folktale? La Llorona or The Monkey and the Turtle? Answer with only and exactly one of these two options.,La Llorona
2,La Llorona,The Monkey and the Turtle,Which is the more interesting folktale? La Llorona or The Monkey and the Turtle? Answer with only and exactly one of these two options.,La Llorona
3,La Llorona,The Monkey and the Turtle,What's a more interesting folktale: La Llorona or The Monkey and the Turtle? Answer with only and exactly one of these two options.,La Llorona
4,La Llorona,The Monkey and the Turtle,Which is the more interesting folktale? La Llorona or The Monkey and the Turtle? ... Answer with only and exactly one of these two options.,La Llorona
5,La Llorona,The Monkey and the Turtle,What's the more interesting folktale -- La Llorona or The Monkey and the Turtle? Answer with only and exactly one of these two options.,La Llorona
1,Momotaro,La Llorona,What is the more interesting folktale? Momotaro or La Llorona? Answer with only and exactly one of these two options.,Momotaro
2,Momotaro,La Llorona,Which is the more interesting folktale? Momotaro or La Llorona? Answer with only and exactly one of these two options.,Momotaro
3,Momotaro,La Llorona,What's a more interesting folktale: Momotaro or La Llorona? Answer with only and exactly one of these two options.,La Llorona
4,Momotaro,La Llorona,Which is the more interesting folktale? Momotaro or La Llorona? ... Answer with only and exactly one of these two options.,La Llorona
5,Momotaro,La Llorona,What's the more interesting folktale -- Momotaro or La Llorona? Answer with only and exactly one of these two options.,Momotaro
1,Momotaro,Paul Bunyan,What is the more interesting folktale? Momotaro or Paul Bunyan? Answer with only and exactly one of these two options.,Momotaro
2,Momotaro,Paul Bunyan,Which is the more interesting folktale? Momotaro or Paul Bunyan? Answer with only and exactly one of these two options.,Momotaro
3,Momotaro,Paul Bunyan,What's a more interesting folktale: Momotaro or Paul Bunyan? Answer with only and exactly one of these two options.,Momotaro
4,Momotaro,Paul Bunyan,Which is the more interesting folktale? Momotaro or Paul Bunyan? ... Answer with only and exactly one of these two options.,Momotaro
5,Momotaro,Paul Bunyan,What's the more interesting folktale -- Momotaro or Paul Bunyan? Answer with only and exactly one of these two options.,Momotaro
1,Momotaro,The Pied Piper of Hamelin,What is the more interesting folktale? Momotaro or The Pied Piper of Hamelin? Answer with only and exactly one of these two options.,Momotaro
2,Momotaro,The Pied Piper of Hamelin,Which is the more interesting folktale? Momotaro or The Pied Piper of Hamelin? Answer with only and exactly one of these two options.,Momotaro
3,Momotaro,The Pied Piper of Hamelin,What's a more interesting folktale: Momotaro or The Pied Piper of Hamelin? Answer with only and exactly one of these two options.,Momotaro
4,Momotaro,The Pied Piper of Hamelin,Which is the more interesting folktale? Momotaro or The Pied Piper of Hamelin? ... Answer with only and exactly one of these two options.,Momotaro
5,Momotaro,The Pied Piper of Hamelin,What's the more interesting folktale -- Momotaro or The Pied Piper of Hamelin? Answer with only and exactly one of these two options.,Momotaro
1,Momotaro,The Fox and the Grapes,What is the more interesting folktale? Momotaro or The Fox and the Grapes? Answer with only and exactly one of these two options.,Momotaro
2,Momotaro,The Fox and the Grapes,Which is the more interesting folktale? Momotaro or The Fox and the Grapes? Answer with only and exactly one of these two options.,Momotaro
3,Momotaro,The Fox and the Grapes,What's a more interesting folktale: Momotaro or The Fox and the Grapes? Answer with only and exactly one of these two options.,Momotaro
4,Momotaro,The Fox and the Grapes,Which is the more interesting folktale? Momotaro or The Fox and the Grapes? ... Answer with only and exactly one of these two options.,Momotaro
5,Momotaro,The Fox and the Grapes,What's the more interesting folktale -- Momotaro or The Fox and the Grapes? Answer with only and exactly one of these two options.,Momotaro
1,Momotaro,Ali Baba and the Forty Thieves,What is the more interesting folktale? Momotaro or Ali Baba and the Forty Thieves? Answer with only and exactly one of these two options.,Ali Baba and the Forty Thieves
2,Momotaro,Ali Baba and the Forty Thieves,Which is the more interesting folktale? Momotaro or Ali Baba and the Forty Thieves? Answer with only and exactly one of these two options.,Ali Baba and the Forty Thieves
3,Momotaro,Ali Baba and the Forty Thieves,What's a more interesting folktale: Momotaro or Ali Baba and the Forty Thieves? Answer with only and exactly one of these two options.,Ali Baba and the Forty Thieves
4,Momotaro,Ali Baba and the Forty Thieves,Which is the more interesting folktale? Momotaro or Ali Baba and the Forty Thieves? ... Answer with only and exactly one of these two options.,Momotaro
5,Momotaro,Ali Baba and the Forty Thieves,What's the more interesting folktale -- Momotaro or Ali Baba and the Forty Thieves? Answer with only and exactly one of these two options.,Ali Baba and the Forty Thieves
1,Momotaro,Tấm and Cám,What is the more interesting folktale? Momotaro or Tấm and Cám? Answer with only and exactly one of these two options.,Momotaro
2,Momotaro,Tấm and Cám,Which is the more interesting folktale? Momotaro or Tấm and Cám? Answer with only and exactly one of these two options.,Momotaro
3,Momotaro,Tấm and Cám,What's a more interesting folktale: Momotaro or Tấm and Cám? Answer with only and exactly one of these two options.,Momotaro
4,Momotaro,Tấm and Cám,Which is the more interesting folktale? Momotaro or Tấm and Cám? ... Answer with only and exactly one of these two options.,Momotaro
5,Momotaro,Tấm and Cám,What's the more interesting folktale -- Momotaro or Tấm and Cám? Answer with only and exactly one of these two options.,Tấm and Cám
1,Momotaro,The Clever Rabbit and the Lion,What is the more interesting folktale? Momotaro or The Clever Rabbit and the Lion? Answer with only and exactly one of these two options.,Momotaro
2,Momotaro,The Clever Rabbit and the Lion,Which is the more interesting folktale? Momotaro or The Clever Rabbit and the Lion? Answer with only and exactly one of these two options.,Momotaro
3,Momotaro,The Clever Rabbit and the Lion,What's a more interesting folktale: Momotaro or The Clever Rabbit and the Lion? Answer with only and exactly one of these two options.,Momotaro
4,Momotaro,The Clever Rabbit and the Lion,Which is the more interesting folktale? Momotaro or The Clever Rabbit and the Lion? ... Answer with only and exactly one of these two options.,Momotaro
5,Momotaro,The Clever Rabbit and the Lion,What's the more interesting folktale -- Momotaro or The Clever Rabbit and the Lion? Answer with only and exactly one of these two options.,Momotaro
