Wording Style,Option 1,Option 2,Question,Answer
1,Churros,Pocky,What is the more delicious children's snack? Churros or Pocky? Answer with only and exactly one of these two options.,"Churros
"
2,Churros,Pocky,Which is the more delicious children's snack? Churros or Pocky? Answer with only and exactly one of these two options.,"Pocky
"
3,Churros,Pocky,What's the more delicious children's snack: Churros or Pocky? Answer with only and exactly one of these two options.,"Pocky
"
4,Churros,Pocky,Which is the more delicious children's snack? Churros or Pocky? ... Answer with only and exactly one of these two options.,"Pocky
"
5,Churros,Pocky,What's the more delicious children's snack -- Churros or Pocky? Answer with only and exactly one of these two options.,"Pocky
"
1,Churros,Goldfish Crackers,What is the more delicious children's snack? Churros or Goldfish Crackers? Answer with only and exactly one of these two options.,"Churros
"
2,Churros,Goldfish Crackers,Which is the more delicious children's snack? Churros or Goldfish Crackers? Answer with only and exactly one of these two options.,"Churros
"
3,Churros,Goldfish Crackers,What's the more delicious children's snack: Churros or Goldfish Crackers? Answer with only and exactly one of these two options.,"Churros
"
4,Churros,Goldfish Crackers,Which is the more delicious children's snack? Churros or Goldfish Crackers? ... Answer with only and exactly one of these two options.,"Churros
"
5,Churros,Goldfish Crackers,What's the more delicious children's snack -- Churros or Goldfish Crackers? Answer with only and exactly one of these two options.,"Churros
"
1,Churros,Haribo Goldbears,What is the more delicious children's snack? Churros or Haribo Goldbears? Answer with only and exactly one of these two options.,"Churros
"
2,Churros,Haribo Goldbears,Which is the more delicious children's snack? Churros or Haribo Goldbears? Answer with only and exactly one of these two options.,"Haribo Goldbears
"
3,Churros,Haribo Goldbears,What's the more delicious children's snack: Churros or Haribo Goldbears? Answer with only and exactly one of these two options.,"Churros
"
4,Churros,Haribo Goldbears,Which is the more delicious children's snack? Churros or Haribo Goldbears? ... Answer with only and exactly one of these two options.,"Churros
"
5,Churros,Haribo Goldbears,What's the more delicious children's snack -- Churros or Haribo Goldbears? Answer with only and exactly one of these two options.,"Haribo Goldbears
"
1,Churros,Loukoumades,What is the more delicious children's snack? Churros or Loukoumades? Answer with only and exactly one of these two options.,"Churros
"
2,Churros,Loukoumades,Which is the more delicious children's snack? Churros or Loukoumades? Answer with only and exactly one of these two options.,"Churros
"
3,Churros,Loukoumades,What's the more delicious children's snack: Churros or Loukoumades? Answer with only and exactly one of these two options.,"Churros
"
4,Churros,Loukoumades,Which is the more delicious children's snack? Churros or Loukoumades? ... Answer with only and exactly one of these two options.,"Loukoumades
"
5,Churros,Loukoumades,What's the more delicious children's snack -- Churros or Loukoumades? Answer with only and exactly one of these two options.,"Churros
"
1,Churros,Ma'amoul,What is the more delicious children's snack? Churros or Ma'amoul? Answer with only and exactly one of these two options.,"Churros
"
2,Churros,Ma'amoul,Which is the more delicious children's snack? Churros or Ma'amoul? Answer with only and exactly one of these two options.,"Churros
"
3,Churros,Ma'amoul,What's the more delicious children's snack: Churros or Ma'amoul? Answer with only and exactly one of these two options.,"Churros
"
4,Churros,Ma'amoul,Which is the more delicious children's snack? Churros or Ma'amoul? ... Answer with only and exactly one of these two options.,"Churros
"
5,Churros,Ma'amoul,What's the more delicious children's snack -- Churros or Ma'amoul? Answer with only and exactly one of these two options.,"Churros
"
1,Churros,Bánh rán,What is the more delicious children's snack? Churros or Bánh rán? Answer with only and exactly one of these two options.,"Churros
"
2,Churros,Bánh rán,Which is the more delicious children's snack? Churros or Bánh rán? Answer with only and exactly one of these two options.,"Churros
"
3,Churros,Bánh rán,What's the more delicious children's snack: Churros or Bánh rán? Answer with only and exactly one of these two options.,"Churros
"
4,Churros,Bánh rán,Which is the more delicious children's snack? Churros or Bánh rán? ... Answer with only and exactly one of these two options.,"Churros
"
5,Churros,Bánh rán,What's the more delicious children's snack -- Churros or Bánh rán? Answer with only and exactly one of these two options.,"Churros
"
1,Churros,Vada Pav,What is the more delicious children's snack? Churros or Vada Pav? Answer with only and exactly one of these two options.,"Churros
"
2,Churros,Vada Pav,Which is the more delicious children's snack? Churros or Vada Pav? Answer with only and exactly one of these two options.,"Churros
"
3,Churros,Vada Pav,What's the more delicious children's snack: Churros or Vada Pav? Answer with only and exactly one of these two options.,"Churros
"
4,Churros,Vada Pav,Which is the more delicious children's snack? Churros or Vada Pav? ... Answer with only and exactly one of these two options.,"Churros
"
5,Churros,Vada Pav,What's the more delicious children's snack -- Churros or Vada Pav? Answer with only and exactly one of these two options.,"Churros
"
1,Churros,Puff Puff,What is the more delicious children's snack? Churros or Puff Puff? Answer with only and exactly one of these two options.,"Churros
"
2,Churros,Puff Puff,Which is the more delicious children's snack? Churros or Puff Puff? Answer with only and exactly one of these two options.,"Churros
"
3,Churros,Puff Puff,What's the more delicious children's snack: Churros or Puff Puff? Answer with only and exactly one of these two options.,"Churros
"
4,Churros,Puff Puff,Which is the more delicious children's snack? Churros or Puff Puff? ... Answer with only and exactly one of these two options.,"Churros
"
5,Churros,Puff Puff,What's the more delicious children's snack -- Churros or Puff Puff? Answer with only and exactly one of these two options.,"Churros
"
1,Churros,Banana Cue,What is the more delicious children's snack? Churros or Banana Cue? Answer with only and exactly one of these two options.,"Banana Cue
"
2,Churros,Banana Cue,Which is the more delicious children's snack? Churros or Banana Cue? Answer with only and exactly one of these two options.,"Banana Cue
"
3,Churros,Banana Cue,What's the more delicious children's snack: Churros or Banana Cue? Answer with only and exactly one of these two options.,"Churros
"
4,Churros,Banana Cue,Which is the more delicious children's snack? Churros or Banana Cue? ... Answer with only and exactly one of these two options.,"Banana Cue
"
5,Churros,Banana Cue,What's the more delicious children's snack -- Churros or Banana Cue? Answer with only and exactly one of these two options.,"Churros
"
1,Pocky,Churros,What is the more delicious children's snack? Pocky or Churros? Answer with only and exactly one of these two options.,"Pocky
"
2,Pocky,Churros,Which is the more delicious children's snack? Pocky or Churros? Answer with only and exactly one of these two options.,"Pocky
"
3,Pocky,Churros,What's the more delicious children's snack: Pocky or Churros? Answer with only and exactly one of these two options.,"Pocky
"
4,Pocky,Churros,Which is the more delicious children's snack? Pocky or Churros? ... Answer with only and exactly one of these two options.,"Pocky
"
5,Pocky,Churros,What's the more delicious children's snack -- Pocky or Churros? Answer with only and exactly one of these two options.,"Pocky
"
1,Pocky,Goldfish Crackers,What is the more delicious children's snack? Pocky or Goldfish Crackers? Answer with only and exactly one of these two options.,"Pocky
"
2,Pocky,Goldfish Crackers,Which is the more delicious children's snack? Pocky or Goldfish Crackers? Answer with only and exactly one of these two options.,"Pocky
"
3,Pocky,Goldfish Crackers,What's the more delicious children's snack: Pocky or Goldfish Crackers? Answer with only and exactly one of these two options.,"Pocky
"
4,Pocky,Goldfish Crackers,Which is the more delicious children's snack? Pocky or Goldfish Crackers? ... Answer with only and exactly one of these two options.,"Pocky
"
5,Pocky,Goldfish Crackers,What's the more delicious children's snack -- Pocky or Goldfish Crackers? Answer with only and exactly one of these two options.,"Pocky
"
1,Pocky,Haribo Goldbears,What is the more delicious children's snack? Pocky or Haribo Goldbears? Answer with only and exactly one of these two options.,"Pocky
"
2,Pocky,Haribo Goldbears,Which is the more delicious children's snack? Pocky or Haribo Goldbears? Answer with only and exactly one of these two options.,"Haribo Goldbears
"
3,Pocky,Haribo Goldbears,What's the more delicious children's snack: Pocky or Haribo Goldbears? Answer with only and exactly one of these two options.,"Pocky
"
4,Pocky,Haribo Goldbears,Which is the more delicious children's snack? Pocky or Haribo Goldbears? ... Answer with only and exactly one of these two options.,"Pocky
"
5,Pocky,Haribo Goldbears,What's the more delicious children's snack -- Pocky or Haribo Goldbears? Answer with only and exactly one of these two options.,"Pocky
"
1,Pocky,Loukoumades,What is the more delicious children's snack? Pocky or Loukoumades? Answer with only and exactly one of these two options.,"Pocky
"
2,Pocky,Loukoumades,Which is the more delicious children's snack? Pocky or Loukoumades? Answer with only and exactly one of these two options.,"Pocky
"
3,Pocky,Loukoumades,What's the more delicious children's snack: Pocky or Loukoumades? Answer with only and exactly one of these two options.,"Pocky
"
4,Pocky,Loukoumades,Which is the more delicious children's snack? Pocky or Loukoumades? ... Answer with only and exactly one of these two options.,"Pocky
"
5,Pocky,Loukoumades,What's the more delicious children's snack -- Pocky or Loukoumades? Answer with only and exactly one of these two options.,"Pocky
"
1,Pocky,Ma'amoul,What is the more delicious children's snack? Pocky or Ma'amoul? Answer with only and exactly one of these two options.,"Pocky
"
2,Pocky,Ma'amoul,Which is the more delicious children's snack? Pocky or Ma'amoul? Answer with only and exactly one of these two options.,"Pocky
"
3,Pocky,Ma'amoul,What's the more delicious children's snack: Pocky or Ma'amoul? Answer with only and exactly one of these two options.,"Pocky
"
4,Pocky,Ma'amoul,Which is the more delicious children's snack? Pocky or Ma'amoul? ... Answer with only and exactly one of these two options.,"Pocky
"
5,Pocky,Ma'amoul,What's the more delicious children's snack -- Pocky or Ma'amoul? Answer with only and exactly one of these two options.,"Pocky
"
1,Pocky,Bánh rán,What is the more delicious children's snack? Pocky or Bánh rán? Answer with only and exactly one of these two options.,"Pocky
"
2,Pocky,Bánh rán,Which is the more delicious children's snack? Pocky or Bánh rán? Answer with only and exactly one of these two options.,"Pocky
"
3,Pocky,Bánh rán,What's the more delicious children's snack: Pocky or Bánh rán? Answer with only and exactly one of these two options.,"Pocky
"
4,Pocky,Bánh rán,Which is the more delicious children's snack? Pocky or Bánh rán? ... Answer with only and exactly one of these two options.,"Pocky
"
5,Pocky,Bánh rán,What's the more delicious children's snack -- Pocky or Bánh rán? Answer with only and exactly one of these two options.,"Pocky
"
1,Pocky,Vada Pav,What is the more delicious children's snack? Pocky or Vada Pav? Answer with only and exactly one of these two options.,"Pocky
"
2,Pocky,Vada Pav,Which is the more delicious children's snack? Pocky or Vada Pav? Answer with only and exactly one of these two options.,"Pocky
"
3,Pocky,Vada Pav,What's the more delicious children's snack: Pocky or Vada Pav? Answer with only and exactly one of these two options.,"Pocky
"
4,Pocky,Vada Pav,Which is the more delicious children's snack? Pocky or Vada Pav? ... Answer with only and exactly one of these two options.,"Pocky
"
5,Pocky,Vada Pav,What's the more delicious children's snack -- Pocky or Vada Pav? Answer with only and exactly one of these two options.,"Pocky
"
1,Pocky,Puff Puff,What is the more delicious children's snack? Pocky or Puff Puff? Answer with only and exactly one of these two options.,"Pocky
"
2,Pocky,Puff Puff,Which is the more delicious children's snack? Pocky or Puff Puff? Answer with only and exactly one of these two options.,"Pocky
"
3,Pocky,Puff Puff,What's the more delicious children's snack: Pocky or Puff Puff? Answer with only and exactly one of these two options.,"Pocky
"
4,Pocky,Puff Puff,Which is the more delicious children's snack? Pocky or Puff Puff? ... Answer with only and exactly one of these two options.,"Pocky
"
5,Pocky,Puff Puff,What's the more delicious children's snack -- Pocky or Puff Puff? Answer with only and exactly one of these two options.,"Pocky
"
1,Pocky,Banana Cue,What is the more delicious children's snack? Pocky or Banana Cue? Answer with only and exactly one of these two options.,"Banana Cue
"
2,Pocky,Banana Cue,Which is the more delicious children's snack? Pocky or Banana Cue? Answer with only and exactly one of these two options.,"Pocky
"
3,Pocky,Banana Cue,What's the more delicious children's snack: Pocky or Banana Cue? Answer with only and exactly one of these two options.,"Banana Cue
"
4,Pocky,Banana Cue,Which is the more delicious children's snack? Pocky or Banana Cue? ... Answer with only and exactly one of these two options.,"Banana Cue
"
5,Pocky,Banana Cue,What's the more delicious children's snack -- Pocky or Banana Cue? Answer with only and exactly one of these two options.,"Banana Cue
"
1,Goldfish Crackers,Churros,What is the more delicious children's snack? Goldfish Crackers or Churros? Answer with only and exactly one of these two options.,"Churros
"
2,Goldfish Crackers,Churros,Which is the more delicious children's snack? Goldfish Crackers or Churros? Answer with only and exactly one of these two options.,"Goldfish Crackers
"
3,Goldfish Crackers,Churros,What's the more delicious children's snack: Goldfish Crackers or Churros? Answer with only and exactly one of these two options.,"Goldfish Crackers
"
4,Goldfish Crackers,Churros,Which is the more delicious children's snack? Goldfish Crackers or Churros? ... Answer with only and exactly one of these two options.,"Goldfish Crackers
"
5,Goldfish Crackers,Churros,What's the more delicious children's snack -- Goldfish Crackers or Churros? Answer with only and exactly one of these two options.,"Goldfish Crackers
"
1,Goldfish Crackers,Pocky,What is the more delicious children's snack? Goldfish Crackers or Pocky? Answer with only and exactly one of these two options.,"Goldfish Crackers
"
2,Goldfish Crackers,Pocky,Which is the more delicious children's snack? Goldfish Crackers or Pocky? Answer with only and exactly one of these two options.,"Goldfish Crackers
"
3,Goldfish Crackers,Pocky,What's the more delicious children's snack: Goldfish Crackers or Pocky? Answer with only and exactly one of these two options.,"Pocky
"
4,Goldfish Crackers,Pocky,Which is the more delicious children's snack? Goldfish Crackers or Pocky? ... Answer with only and exactly one of these two options.,"Goldfish Crackers
"
5,Goldfish Crackers,Pocky,What's the more delicious children's snack -- Goldfish Crackers or Pocky? Answer with only and exactly one of these two options.,"Goldfish Crackers
"
1,Goldfish Crackers,Haribo Goldbears,What is the more delicious children's snack? Goldfish Crackers or Haribo Goldbears? Answer with only and exactly one of these two options.,"Haribo Goldbears
"
2,Goldfish Crackers,Haribo Goldbears,Which is the more delicious children's snack? Goldfish Crackers or Haribo Goldbears? Answer with only and exactly one of these two options.,"Haribo Goldbears
"
3,Goldfish Crackers,Haribo Goldbears,What's the more delicious children's snack: Goldfish Crackers or Haribo Goldbears? Answer with only and exactly one of these two options.,"Haribo Goldbears
"
4,Goldfish Crackers,Haribo Goldbears,Which is the more delicious children's snack? Goldfish Crackers or Haribo Goldbears? ... Answer with only and exactly one of these two options.,"Haribo Goldbears
"
5,Goldfish Crackers,Haribo Goldbears,What's the more delicious children's snack -- Goldfish Crackers or Haribo Goldbears? Answer with only and exactly one of these two options.,"Haribo Goldbears
"
1,Goldfish Crackers,Loukoumades,What is the more delicious children's snack? Goldfish Crackers or Loukoumades? Answer with only and exactly one of these two options.,"Loukoumades
"
2,Goldfish Crackers,Loukoumades,Which is the more delicious children's snack? Goldfish Crackers or Loukoumades? Answer with only and exactly one of these two options.,"Goldfish Crackers
"
3,Goldfish Crackers,Loukoumades,What's the more delicious children's snack: Goldfish Crackers or Loukoumades? Answer with only and exactly one of these two options.,"Goldfish Crackers
"
4,Goldfish Crackers,Loukoumades,Which is the more delicious children's snack? Goldfish Crackers or Loukoumades? ... Answer with only and exactly one of these two options.,"Goldfish Crackers
"
5,Goldfish Crackers,Loukoumades,What's the more delicious children's snack -- Goldfish Crackers or Loukoumades? Answer with only and exactly one of these two options.,"Goldfish Crackers
"
1,Goldfish Crackers,Ma'amoul,What is the more delicious children's snack? Goldfish Crackers or Ma'amoul? Answer with only and exactly one of these two options.,"Goldfish Crackers
"
2,Goldfish Crackers,Ma'amoul,Which is the more delicious children's snack? Goldfish Crackers or Ma'amoul? Answer with only and exactly one of these two options.,"Goldfish Crackers
"
3,Goldfish Crackers,Ma'amoul,What's the more delicious children's snack: Goldfish Crackers or Ma'amoul? Answer with only and exactly one of these two options.,"Goldfish Crackers
"
4,Goldfish Crackers,Ma'amoul,Which is the more delicious children's snack? Goldfish Crackers or Ma'amoul? ... Answer with only and exactly one of these two options.,"Goldfish Crackers
"
5,Goldfish Crackers,Ma'amoul,What's the more delicious children's snack -- Goldfish Crackers or Ma'amoul? Answer with only and exactly one of these two options.,"Goldfish Crackers
"
1,Goldfish Crackers,Bánh rán,What is the more delicious children's snack? Goldfish Crackers or Bánh rán? Answer with only and exactly one of these two options.,"Goldfish Crackers
"
2,Goldfish Crackers,Bánh rán,Which is the more delicious children's snack? Goldfish Crackers or Bánh rán? Answer with only and exactly one of these two options.,"Goldfish Crackers
"
3,Goldfish Crackers,Bánh rán,What's the more delicious children's snack: Goldfish Crackers or Bánh rán? Answer with only and exactly one of these two options.,"Bánh rán
"
4,Goldfish Crackers,Bánh rán,Which is the more delicious children's snack? Goldfish Crackers or Bánh rán? ... Answer with only and exactly one of these two options.,"Goldfish Crackers
"
5,Goldfish Crackers,Bánh rán,What's the more delicious children's snack -- Goldfish Crackers or Bánh rán? Answer with only and exactly one of these two options.,"Bánh rán
"
1,Goldfish Crackers,Vada Pav,What is the more delicious children's snack? Goldfish Crackers or Vada Pav? Answer with only and exactly one of these two options.,"Goldfish Crackers
"
2,Goldfish Crackers,Vada Pav,Which is the more delicious children's snack? Goldfish Crackers or Vada Pav? Answer with only and exactly one of these two options.,"Goldfish Crackers
"
3,Goldfish Crackers,Vada Pav,What's the more delicious children's snack: Goldfish Crackers or Vada Pav? Answer with only and exactly one of these two options.,"Goldfish Crackers
"
4,Goldfish Crackers,Vada Pav,Which is the more delicious children's snack? Goldfish Crackers or Vada Pav? ... Answer with only and exactly one of these two options.,"Goldfish Crackers
"
5,Goldfish Crackers,Vada Pav,What's the more delicious children's snack -- Goldfish Crackers or Vada Pav? Answer with only and exactly one of these two options.,"Goldfish Crackers
"
1,Goldfish Crackers,Puff Puff,What is the more delicious children's snack? Goldfish Crackers or Puff Puff? Answer with only and exactly one of these two options.,"Goldfish Crackers
"
2,Goldfish Crackers,Puff Puff,Which is the more delicious children's snack? Goldfish Crackers or Puff Puff? Answer with only and exactly one of these two options.,"Goldfish Crackers
"
3,Goldfish Crackers,Puff Puff,What's the more delicious children's snack: Goldfish Crackers or Puff Puff? Answer with only and exactly one of these two options.,"Goldfish Crackers
"
4,Goldfish Crackers,Puff Puff,Which is the more delicious children's snack? Goldfish Crackers or Puff Puff? ... Answer with only and exactly one of these two options.,"Goldfish Crackers
"
