Wording Style,Option 1,Option 2,Question,Answer
1,Tacos,Ramen,What is more delicious? Tacos or Ramen? Answer with only and exactly one of these two options.,"Tacos"
2,Tacos,Ramen,Which is the more delicious? Tacos or Ramen? Answer with only and exactly one of these two options.,"Tacos"
3,Tacos,Ramen,What's more delicious: Tacos or Ramen? Answer with only and exactly one of these two options.,"Tacos"
4,Tacos,Ramen,Which is more delicious? Tacos or Ramen? ... Answer with only and exactly one of these two options.,"Tacos"
5,Tacos,Ramen,What's more delicious -- Tacos or Ramen? Answer with only and exactly one of these two options.,"Tacos"
1,Tacos,Hamburger,What is more delicious? Tacos or Hamburger? Answer with only and exactly one of these two options.,"Tacos"
2,Tacos,Hamburger,Which is the more delicious? Tacos or Hamburger? Answer with only and exactly one of these two options.,"Tacos"
3,Tacos,Hamburger,What's more delicious: Tacos or Hamburger? Answer with only and exactly one of these two options.,"Tacos"
4,Tacos,Hamburger,Which is more delicious? Tacos or Hamburger? ... Answer with only and exactly one of these two options.,"Tacos"
5,Tacos,Hamburger,What's more delicious -- Tacos or Hamburger? Answer with only and exactly one of these two options.,"Tacos"
1,Tacos,Currywurst,What is more delicious? Tacos or Currywurst? Answer with only and exactly one of these two options.,"Tacos"
2,Tacos,Currywurst,Which is the more delicious? Tacos or Currywurst? Answer with only and exactly one of these two options.,"Tacos"
3,Tacos,Currywurst,What's more delicious: Tacos or Currywurst? Answer with only and exactly one of these two options.,"Tacos"
4,Tacos,Currywurst,Which is more delicious? Tacos or Currywurst? ... Answer with only and exactly one of these two options.,"Tacos"
5,Tacos,Currywurst,What's more delicious -- Tacos or Currywurst? Answer with only and exactly one of these two options.,"Tacos"
1,Tacos,Souvlaki,What is more delicious? Tacos or Souvlaki? Answer with only and exactly one of these two options.,"Tacos"
2,Tacos,Souvlaki,Which is the more delicious? Tacos or Souvlaki? Answer with only and exactly one of these two options.,"Tacos"
3,Tacos,Souvlaki,What's more delicious: Tacos or Souvlaki? Answer with only and exactly one of these two options.,"Tacos"
4,Tacos,Souvlaki,Which is more delicious? Tacos or Souvlaki? ... Answer with only and exactly one of these two options.,"Tacos"
5,Tacos,Souvlaki,What's more delicious -- Tacos or Souvlaki? Answer with only and exactly one of these two options.,"Tacos"
1,Tacos,Falafel,What is more delicious? Tacos or Falafel? Answer with only and exactly one of these two options.,"Tacos"
2,Tacos,Falafel,Which is the more delicious? Tacos or Falafel? Answer with only and exactly one of these two options.,"Tacos"
3,Tacos,Falafel,What's more delicious: Tacos or Falafel? Answer with only and exactly one of these two options.,"Tacos"
4,Tacos,Falafel,Which is more delicious? Tacos or Falafel? ... Answer with only and exactly one of these two options.,"Tacos"
5,Tacos,Falafel,What's more delicious -- Tacos or Falafel? Answer with only and exactly one of these two options.,"Tacos"
1,Tacos,Banh mì,What is more delicious? Tacos or Banh mì? Answer with only and exactly one of these two options.,"Tacos"
2,Tacos,Banh mì,Which is the more delicious? Tacos or Banh mì? Answer with only and exactly one of these two options.,"Banh mì"
3,Tacos,Banh mì,What's more delicious: Tacos or Banh mì? Answer with only and exactly one of these two options.,"Tacos"
